Posição no depósito;Corr.pos.dep.;Col.posição depósito;Nível pos.dep.;Subdiv.pos.dep.;Tipo de depósito;Área armazmto.;Tp.posição depósito
001-109-030-001;001;109;030;001;0010;GERL;P160
001-109-040-001;001;109;040;001;0010;GERL;P160
001-109-050-001;001;109;050;001;0010;GERL;P160
001-109-060-001;001;109;060;001;0010;GERL;P200
001-110-010-001;001;110;010;001;0010;GERL;P160
001-110-020-001;001;110;020;001;0010;GERL;P160
001-110-030-001;001;110;030;001;0010;GERL;P160
001-110-040-001;001;110;040;001;0010;GERL;P160
001-110-050-001;001;110;050;001;0010;GERL;P160
001-110-060-001;001;110;060;001;0010;GERL;P200
001-111-010-001;001;111;010;001;0010;GERL;P160
001-111-020-001;001;111;020;001;0010;GERL;P160
001-111-030-001;001;111;030;001;0010;GERL;P160
001-111-040-001;001;111;040;001;0010;GERL;P160
001-111-050-001;001;111;050;001;0010;GERL;P160
001-111-060-001;001;111;060;001;0010;GERL;P200
001-112-010-001;001;112;010;001;0010;GERL;P160
001-112-020-001;001;112;020;001;0010;GERL;P160
001-112-030-001;001;112;030;001;0010;GERL;P160
001-112-040-001;001;112;040;001;0010;GERL;P160
001-112-050-001;001;112;050;001;0010;GERL;P160
001-112-060-001;001;112;060;001;0010;GERL;P200
001-113-010-001;001;113;010;001;0010;GERL;P160
001-113-020-001;001;113;020;001;0010;GERL;P160
001-113-030-001;001;113;030;001;0010;GERL;P160
001-113-040-001;001;113;040;001;0010;GERL;P160
001-113-050-001;001;113;050;001;0010;GERL;P160
001-113-060-001;001;113;060;001;0010;GERL;P200
001-114-010-001;001;114;010;001;0010;GERL;P160
001-114-020-001;001;114;020;001;0010;GERL;P160
001-114-030-001;001;114;030;001;0010;GERL;P160
001-114-040-001;001;114;040;001;0010;GERL;P160
001-114-050-001;001;114;050;001;0010;GERL;P160
001-114-060-001;001;114;060;001;0010;GERL;P200
001-115-010-001;001;115;010;001;0010;GERL;P160
001-115-020-001;001;115;020;001;0010;GERL;P160
001-115-030-001;001;115;030;001;0010;GERL;P160
001-115-040-001;001;115;040;001;0010;GERL;P160
001-115-050-001;001;115;050;001;0010;GERL;P160
001-115-060-001;001;115;060;001;0010;GERL;P200
001-116-010-001;001;116;010;001;0010;GERL;P160
001-116-020-001;001;116;020;001;0010;GERL;P160
001-116-030-001;001;116;030;001;0010;GERL;P160
001-116-040-001;001;116;040;001;0010;GERL;P160
001-116-050-001;001;116;050;001;0010;GERL;P160
001-116-060-001;001;116;060;001;0010;GERL;P200
001-117-010-001;001;117;010;001;0010;GERL;P160
001-117-020-001;001;117;020;001;0010;GERL;P160
001-117-030-001;001;117;030;001;0010;GERL;P160
001-117-040-001;001;117;040;001;0010;GERL;P160
001-117-050-001;001;117;050;001;0010;GERL;P160
001-117-060-001;001;117;060;001;0010;GERL;P200
001-118-010-001;001;118;010;001;0010;GERL;P160
001-118-020-001;001;118;020;001;0010;GERL;P160
001-118-030-001;001;118;030;001;0010;GERL;P160
001-118-040-001;001;118;040;001;0010;GERL;P160
001-118-050-001;001;118;050;001;0010;GERL;P160
001-118-060-001;001;118;060;001;0010;GERL;P200
001-119-010-001;001;119;010;001;0010;GERL;P160
001-119-020-001;001;119;020;001;0010;GERL;P160
001-119-030-001;001;119;030;001;0010;GERL;P160
001-119-040-001;001;119;040;001;0010;GERL;P160
001-119-050-001;001;119;050;001;0010;GERL;P160
001-119-060-001;001;119;060;001;0010;GERL;P200
001-120-010-001;001;120;010;001;0010;GERL;P160
001-120-020-001;001;120;020;001;0010;GERL;P160
001-120-030-001;001;120;030;001;0010;GERL;P160
001-120-040-001;001;120;040;001;0010;GERL;P160
001-120-050-001;001;120;050;001;0010;GERL;P160
001-120-060-001;001;120;060;001;0010;GERL;P200
001-121-010-001;001;121;010;001;0010;GERL;P160
001-121-020-001;001;121;020;001;0010;GERL;P160
001-121-030-001;001;121;030;001;0010;GERL;P160
001-121-040-001;001;121;040;001;0010;GERL;P160
001-121-050-001;001;121;050;001;0010;GERL;P160
001-121-060-001;001;121;060;001;0010;GERL;P200
001-122-010-001;001;122;010;001;0010;GERL;P160
001-122-020-001;001;122;020;001;0010;GERL;P160
001-122-030-001;001;122;030;001;0010;GERL;P160
001-122-040-001;001;122;040;001;0010;GERL;P160
001-122-050-001;001;122;050;001;0010;GERL;P160
001-122-060-001;001;122;060;001;0010;GERL;P200
001-123-010-001;001;123;010;001;0010;GERL;P160
001-123-020-001;001;123;020;001;0010;GERL;P160
001-123-030-001;001;123;030;001;0010;GERL;P160
001-123-040-001;001;123;040;001;0010;GERL;P160
001-123-050-001;001;123;050;001;0010;GERL;P160
001-123-060-001;001;123;060;001;0010;GERL;P200
001-124-010-001;001;124;010;001;0010;GERL;P160
001-124-020-001;001;124;020;001;0010;GERL;P160
001-124-030-001;001;124;030;001;0010;GERL;P160
001-124-040-001;001;124;040;001;0010;GERL;P160
001-124-050-001;001;124;050;001;0010;GERL;P160
001-124-060-001;001;124;060;001;0010;GERL;P200
001-125-010-001;001;125;010;001;0010;GERL;P160
001-125-020-001;001;125;020;001;0010;GERL;P160
001-125-030-001;001;125;030;001;0010;GERL;P160
001-125-040-001;001;125;040;001;0010;GERL;P160
001-125-050-001;001;125;050;001;0010;GERL;P160
001-125-060-001;001;125;060;001;0010;GERL;P200
001-127-010-001;001;127;010;001;0010;GERL;P160
001-127-020-001;001;127;020;001;0010;GERL;P160
001-127-030-001;001;127;030;001;0010;GERL;P160
001-127-040-001;001;127;040;001;0010;GERL;P160
001-127-050-001;001;127;050;001;0010;GERL;P160
001-127-060-001;001;127;060;001;0010;GERL;P200
001-129-010-001;001;129;010;001;0010;GERL;P160
001-129-020-001;001;129;020;001;0010;GERL;P160
001-129-030-001;001;129;030;001;0010;GERL;P160
001-129-040-001;001;129;040;001;0010;GERL;P160
001-129-050-001;001;129;050;001;0010;GERL;P160
001-129-060-001;001;129;060;001;0010;GERL;P200
002-017-010-001;002;017;010;001;0010;GERL;P080
002-017-020-001;002;017;020;001;0010;GERL;P200
002-017-030-001;002;017;030;001;0010;GERL;P160
002-017-040-001;002;017;040;001;0010;GERL;P200
002-017-050-001;002;017;050;001;0010;GERL;P200
002-017-060-001;002;017;060;001;0010;GERL;P200
002-018-010-001;002;018;010;001;0010;GERL;P160
002-018-020-001;002;018;020;001;0010;GERL;P160
002-018-030-001;002;018;030;001;0010;GERL;P160
002-018-040-001;002;018;040;001;0010;GERL;P160
002-018-050-001;002;018;050;001;0010;GERL;P160
002-018-060-001;002;018;060;001;0010;GERL;P200
002-019-010-001;002;019;010;001;0010;GERL;P080
002-019-020-001;002;019;020;001;0010;GERL;P160
002-019-030-001;002;019;030;001;0010;GERL;P160
002-019-040-001;002;019;040;001;0010;GERL;P160
002-019-050-001;002;019;050;001;0010;GERL;P160
002-019-060-001;002;019;060;001;0010;GERL;P200
002-020-010-001;002;020;010;001;0010;GERL;P160
002-020-020-001;002;020;020;001;0010;GERL;P160
002-020-030-001;002;020;030;001;0010;GERL;P160
002-020-040-001;002;020;040;001;0010;GERL;P160
002-020-050-001;002;020;050;001;0010;GERL;P160
002-020-060-001;002;020;060;001;0010;GERL;P200
002-021-010-001;002;021;010;001;0010;GERL;P080
002-021-020-001;002;021;020;001;0010;GERL;P200
002-021-030-001;002;021;030;001;0010;GERL;P160
002-021-040-001;002;021;040;001;0010;GERL;P160
002-021-050-001;002;021;050;001;0010;GERL;P200
002-021-060-001;002;021;060;001;0010;GERL;P200
002-022-010-001;002;022;010;001;0010;GERL;P160
002-022-020-001;002;022;020;001;0010;GERL;P160
002-022-030-001;002;022;030;001;0010;GERL;P160
002-022-040-001;002;022;040;001;0010;GERL;P160
002-022-050-001;002;022;050;001;0010;GERL;P160
002-022-060-001;002;022;060;001;0010;GERL;P200
002-023-010-001;002;023;010;001;0010;GERL;P080
002-023-020-001;002;023;020;001;0010;GERL;P160
002-023-030-001;002;023;030;001;0010;GERL;P160
002-023-040-001;002;023;040;001;0010;GERL;P160
002-023-050-001;002;023;050;001;0010;GERL;P160
002-023-060-001;002;023;060;001;0010;GERL;P200
002-024-010-001;002;024;010;001;0010;GERL;P160
002-024-020-001;002;024;020;001;0010;GERL;P160
002-024-030-001;002;024;030;001;0010;GERL;P160
002-024-040-001;002;024;040;001;0010;GERL;P160
002-024-050-001;002;024;050;001;0010;GERL;P160
002-024-060-001;002;024;060;001;0010;GERL;P200
